Name,Size ,Bounds,LE
aug2d,24,0,9
bt3,5,0,3
hs28,3,0,1
hs49,5,0,2
hs51,5,0,3
cvxqp2,10,20,2
fccu,19,19,8
hs41,4,8,1
hs54,6,12,1
hs62,3,6,1
ncvxqp1,10,20,5
ncvxqp3,10,20,5
ncvxqp5,10,20,2
odfits,10,10,6
portfl2,12,24,1
portfl4,12,24,1
reading2,9,14,4
sosqp2,20,40,11
genhs28,10,0,8
hs9,2,0,1
hs48,5,0,2
hs50,5,0,3
hs52,5,0,3
cvxqp1,10,20,5
degenlpa,20,40,15
hong,4,8,1
hs53,5,10,3
hs55,6,8,6
hs112,10,10,3
ncvxqp2,10,20,5
ncvxqp4,1000,,
ncvxqp6,1000,,
portfl1,12,24,1
portfl3,12,24,1
portfl6,12,24,1
sosqp1,10000,,
